,District name,State name,latitude,longitude,economic_growth_score,digital_score,income_score,infrastructure_score,education_score,mobility_score,Population,Literate,Workers,Households_with_Internet,Housholds_with_Electric_Lighting,LPG_or_PNG_Households,Power_Parity_Above_Rs_545000
91,Mahbubnagar,ANDHRA PRADESH,16.318495417866945,79.26471590919527,13.5,0.0547290251819864,0.0077094261643617865,0.21685636048203633,0.09091067370333539,0.21463635902828052,4053028,1940646,2082501,6153,757821,136843,102
92,Sangli,MAHARASHTRA,19.1605869794597,76.78730582224043,13.48,0.05088165211785723,0.0472897790494357,0.17253629551631622,0.1562852588754644,0.17509088262397013,2822143,2049467,1215104,13212,485126,227034,442
93,Prakasam,ANDHRA PRADESH,14.812091927750087,80.98627671966793,13.44,0.04063782679531107,0.009590420176972394,0.25571849871681046,0.09375886539349801,0.18359329814569553,3397448,1904435,1700567,6151,763746,290947,127
94,Alwar,RAJASTHAN,27.082819067611187,72.62746788902423,13.35,0.045354278595024874,0.04127589678376517,0.1475332842463957,0.15431545592062343,0.20617066047655377,3674179,2182476,1708542,9750,485723,123478,661
95,Kannur,KERALA,9.122972225725878,76.90457960287664,13.33,0.09537995778292363,0.025486144227202884,0.15173983404988606,0.17918071900880334,0.11940586093821282,2523003,2138434,824116,32653,511167,115356,49
96,Durg,CHHATTISGARH,21.421761036715004,82.29281729336344,13.24,0.05510991265799663,0.021379748847560005,0.18009895421509792,0.1664794159005089,0.15475585489453456,3343872,2303378,1496805,16141,614109,129193,266
97,Kottayam,KERALA,11.207569124029817,77.75932768599087,13.19,0.09968439581826508,0.018809940126106078,0.1577451319421914,0.17105468439284494,0.12530429595047562,1974551,1749798,735735,37849,464039,187213,88
98,Thanjavur,TAMIL NADU,10.528887453561397,78.43618045358899,13.02,0.046080831694425034,0.04045461770783659,0.18867718797901048,0.1363922973535339,0.17935882422514196,2405890,1790998,974079,13495,555582,223044,348
99,Purba Medinipur,WEST BENGAL,23.13696061829762,88.30658580853586,13.01,0.06277107515933793,0.02736713823981349,0.14204354490580554,0.14330128733621533,0.1738538781568471,5095875,3923194,1910320,9076,530761,55834,197
100,Jodhpur,RAJASTHAN,27.639824723336496,73.13171244541243,12.89,0.06060861723102177,0.03661315106236422,0.14674209735921342,0.1129909016952254,0.21627692523645078,3687165,2031532,1489741,19335,408808,197135,556
